num_threads,num_chains,num_samples,mean,std
1,1,10000,54.084738918999996,10.650304071246516
1,2,5000,31.031948174,2.9516012964181115
1,4,2500,19.9951082068,1.3063263799983187
1,8,1250,16.7226280368,1.0978590905092407
2,1,10000,54.844116638399996,4.301988966452202
2,2,5000,31.9125822576,2.7056966594194813
2,4,2500,20.980106670999998,0.9309827634349115
2,8,1250,16.807082478,0.3866721175774955
4,1,10000,51.0409887278,3.9211843794334094
4,2,5000,30.270284963599998,1.7740532180311979
4,4,2500,20.1712969062,0.9188042561455019
4,8,1250,16.371177117400002,1.0211141896309042
8,1,10000,53.21444918200001,12.47873635176256
8,2,5000,30.462242394999997,2.6114576760006702
8,4,2500,20.832534764400002,1.5257202234572829
8,8,1250,16.6038122964,0.5851208832772442
