num_threads,num_chains,num_samples,mean,std
1,1,10000,39.607022052125004,3.4371712630004123
1,2,5000,24.279121250125,2.0168052676907124
1,4,2500,14.981390239499998,0.891128782262717
1,8,1250,10.362443234375,0.45091296630112454
2,1,10000,41.23668658875,3.550187634056347
2,2,5000,24.907861051875,2.6802259943334676
2,4,2500,19.346708239375,2.181457346104833
2,8,1250,15.184000088625002,0.6258870593395582
4,1,10000,39.616201244875,5.38162035573292
4,2,5000,24.0672936095,2.9134388433764364
4,4,2500,16.1525879585,0.9448604248933347
4,8,1250,14.117845192624998,0.9597795054217577
8,1,10000,38.595141942625,5.023194333399363
8,2,5000,24.0275033335,2.811664915134197
8,4,2500,15.925729598999999,1.4538078090917503
8,8,1250,14.46451267175,0.6069288863809587
