num_threads,num_chains,num_samples,mean,std
1,1,10000,39.241998741399996,3.1715624933899234
1,2,5000,25.1999502248,2.9966133567631164
1,4,2500,15.0383012376,1.3155375914831766
1,8,1250,10.444398962300001,0.42978784070688664
2,1,10000,170.38689673330003,294.30123764648636
2,2,5000,23.069601758099996,2.4450058136136508
2,4,2500,15.249846366700002,0.537170379328058
2,8,1250,10.0043140749,0.3417940336741322
4,1,10000,234.67776375000003,414.5833680039305
4,2,5000,23.6940073,2.686718215578439
4,4,2500,14.470278137600001,0.7949320347996056
4,8,1250,9.894782058299999,0.5402043237594022
8,1,10000,134.7174780208,306.1631974618712
8,2,5000,22.9859397374,1.9201409269269447
8,4,2500,15.817682550199999,1.2783219257697254
8,8,1250,31.245944508099996,56.784654469003755
