num_threads,num_chains,num_samples,mean,std
1,1,10000,122.5205463502,261.1423499372098
1,2,5000,24.3315967833,2.2066961503397398
1,4,2500,14.9441971623,1.239898781684356
1,8,1250,39.8945156792,94.25485407358947
2,1,10000,106.3821552583,122.54824656388958
2,2,5000,24.382355804099998,2.0651130820640815
2,4,2500,14.727389454,1.1281625612519206
2,8,1250,13.383519245800002,0.7337210239846013
4,1,10000,38.307339416800005,3.4284618767084183
4,2,5000,23.0413903499,2.103400754114153
4,4,2500,45.1267582956,92.87454654577209
4,8,1250,49.250634529200006,95.79207135317832
8,1,10000,71.2191962209,97.11987781152942
8,2,5000,25.7441173041,3.2580811547048216
8,4,2500,15.817827270699999,1.261399476210887
8,8,1250,14.090757412600002,0.6216189897142652
