num_threads,num_chains,num_samples,mean,std
1,1,10000,75.3266758044,125.8103898714996
1,2,5000,21.487175929399996,3.0237379545488605
1,4,2500,13.308160308199998,0.8140011490764751
1,8,1250,8.911879950099998,0.33721276215037643
2,1,10000,38.2449643124,5.204956805223502
2,2,5000,21.5454403958,1.3454597986090333
2,4,2500,12.797391120799999,0.8017592930436522
2,8,1250,8.8347230208,0.21124235344564896
4,1,10000,36.388592850100004,2.447009646375951
4,2,5000,19.883632316699998,1.4949403737088438
4,4,2500,12.872536708199998,0.5230767825782244
4,8,1250,8.667454795600001,0.2674716242861518
8,1,10000,34.1621610666,2.4264113880640124
8,2,5000,20.6139829208,0.9476376257681494
8,4,2500,12.8579515373,0.7268048193689908
8,8,1250,8.9714339668,0.4301284015051156
